IP Address,Information,Count,Timestamp,AS Number
95.59.34.169,JSC Kazakhtelecom,206,25:13:25:01,[AS9198]
60.240.96.235,TPG Telecom Limited,205,25:16:44:01,[AS7545]
79.75.252.102,TalkTalk,204,25:16:44:01,[AS9105]
92.221.126.65,Altibox AS,204,25:16:28:01,[AS29695]
154.53.62.109,CONTABO,202,25:16:40:01,[AS40021]
76.70.92.124,BACOM,202,25:16:42:01,[AS577]
87.121.194.114,Envia Tel GmbH,201,25:13:52:01,[AS21413]
125.141.199.98,Korea Telecom,201,25:16:43:01,[AS4766]
24.68.94.168,SHAW,200,25:16:40:01,[AS6327]
189.236.27.170,Uninet S.A. de C.V.,198,25:16:43:01,[AS8151]
143.177.231.247,T-Mobile Thuis BV,192,25:16:15:01,[AS50266]
80.90.4.178,SOPRADO GmbH,187,25:16:37:01,[AS20546]
47.145.127.178,FRONTIER-FRTR,184,25:13:51:01,[AS5650]
188.27.134.15,RCS + RDS,177,25:16:31:01,[AS8708]
193.226.248.129,DIGI Tavkozlesi es Szolgaltato Kft.,169,25:11:49:01,[AS20845]
77.230.89.164,Vodafone Spain,166,25:16:37:01,[AS12430]
78.98.208.145,"Slovak Telekom, a.s.",166,25:10:16:01,[AS6855]
125.38.172.190,CHINA UNICOM China169 Backbone,166,25:14:29:01,[AS4837]
175.141.160.57,"TM Net, Internet Service Provider",165,25:16:26:01,[AS4788]
187.112.5.252,TELEFONICA BRASIL S.A,165,25:16:37:01,[AS18881]
176.45.48.111,Saudi Telecom Company JSC,162,25:16:39:01,[AS25019]
213.45.104.176,Telecom Italia,160,25:09:04:01,[AS3269]
50.125.234.206,AS-WHOLESAIL,152,25:16:44:01,[AS20055]
46.152.34.157,"Etihad Etisalat, a joint stock company",150,25:09:32:01,[AS35819]
90.220.205.184,Sky UK Limited,139,25:16:38:01,[AS5607]
86.182.109.124,British Telecommunications PLC,138,25:16:39:01,[AS2856]
139.99.8.149,OVH SAS,136,25:06:51:01,[AS16276]
195.90.215.245,EVANZO e-commerce GmbH,135,25:16:40:01,[AS42730]
115.199.98.9,Chinanet,133,25:16:45:01,[AS4134]
132.147.51.42,ATLANTICBB-JOHNSTOWN,132,25:16:40:01,[AS11776]
92.195.130.189,Plusnet GmbH,130,25:16:43:01,[AS20676]
79.213.246.100,Deutsche Telekom AG,129,25:16:35:01,[AS3320]
143.59.119.178,WOW-INTERNET,128,25:12:10:01,[AS12083]
83.50.2.248,Telefonica De Espana S.a.u.,127,25:08:03:01,[AS3352]
38.65.90.145,HILLBILLY-WIRELESS,126,25:08:15:01,[AS62682]
92.97.97.21,Emirates Telecommunications Group Company [etisalat Group] Pjsc,125,25:16:29:01,[AS5384]
176.28.240.102,Linkdotnet-Jordan,121,25:07:28:01,[AS48832]
75.235.253.197,CELLCO-PART,118,25:16:42:01,[AS6167]
101.83.112.203,China Telecom Group,118,25:08:13:01,[AS4812]
109.250.197.49,1+1 Versatel Deutschland GmbH,116,25:16:42:01,[AS8881]
167.57.42.228,Administracion Nacional de Telecomunicaciones,115,25:06:35:01,[AS6057]
161.97.113.161,Contabo GmbH,115,25:16:38:01,[AS51167]
93.137.180.145,Hrvatski Telekom d.d.,111,25:05:07:01,[AS5391]
177.92.47.27,Ligga Telecomunicacoes S.A.,107,25:15:04:01,[AS14868]
62.144.238.245,ecotel communication ag,102,25:16:38:01,[AS12312]
92.242.238.113,Magic Net D.o.o.,96,25:02:41:01,[AS44377]
91.97.107.108,EWE-Tel GmbH,91,25:03:46:01,[AS9145]
77.181.189.249,Telefonica Germany,88,25:16:20:01,[AS6805]
71.212.132.64,CENTURYLINK-US-LEGACY-QWEST,85,25:16:40:01,[AS209]
188.126.175.74,SoftCom Datensysteme,84,25:01:25:01,[AS12759]
194.87.218.234,Global Internet Solutions LLC,73,25:00:00:01,[AS207713]
152.231.121.100,ENTEL CHILE S.A.,59,25:16:17:01,[AS27651]
90.242.38.137,Vodafone Limited,55,24:23:30:01,[AS5378]
45.91.169.203,Kamatera Inc,55,25:16:36:01,[AS41436]
79.164.42.141,Central Telegraph Public Joint-stock Company,47,25:08:41:01,[AS8615]
50.39.181.18,ZIPLY-FIBER-LEGACY-ASN,46,25:16:44:01,[AS27017]
84.46.36.74,wilhelm.tel GmbH,45,24:21:38:01,[AS15943]
93.93.39.39,Nordic Telecom Regional s.r.o.,38,25:06:31:01,[AS199101]
80.88.20.182,newone GmbH,36,25:12:38:01,[AS44365]
83.166.120.248,LLC Company NICOS,29,25:04:11:01,[AS51009]
193.181.35.169,PVDataNet AB,28,24:19:49:01,[AS42201]
123.255.59.217,2degrees Networks Limited,21,25:16:35:01,[AS23655]
108.188.192.32,BHN-33363,20,24:18:44:01,[AS33363]
171.97.235.160,True Online,20,25:10:00:01,[AS17552]
81.106.103.172,Virgin Media Limited,11,24:17:43:01,[AS5089]
186.116.75.86,COLOMBIA TELECOMUNICACIONES S.A. ESP,9,25:15:58:01,[AS3816]
37.110.134.76,Rostelecom,8,25:16:44:01,[AS42610]
46.212.201.226,Telia Norge AS,7,24:18:27:01,[AS41164]
188.29.66.246,Three,4,25:16:41:01,[AS206067]
153.210.33.14,NTT Communications Corporation,4,24:19:10:01,[AS4713]
